Region,方案,類型,GPU,顯存(GB),顯存頻寬(GB/s),vCPU,記憶體(GB),系統碟(GB),價格(小時)
AI-Cloud,Basic.small,Basic,,,,2,8,120,2.92
AI-Cloud,Basic.medium,Basic,,,,4,16,120,5.84
AI-Cloud,Basic.large,Basic,,,,8,32,120,11.68
AI-Cloud,CPU.small,CPU優化,,,,8,16,120,9.73
AI-Cloud,CPU.medium,CPU優化,,,,16,32,120,19.46
AI-Cloud,CPU.large,CPU優化,,,,32,64,120,38.92
AI-Cloud,Memory.small,記憶體優化,,,,4,32,120,7.78
AI-Cloud,Memory.medium,記憶體優化,,,,8,64,120,15.57
AI-Cloud,Memory.large,記憶體優化,,,,16,128,120,31.14
AI-Cloud,H200.small,GPU,H200*1,141,4800,96,512,120,245.94
AI-Cloud,H200.large,GPU,H200*2,282,9600,192,1024,120,491.88
AI-Cloud,H200.vGPU(35GB),GPU,H200_vgpu*1,35,1191.5,24,128,120,61.485
AI-Cloud,cks-vm-bfv(Master),K8S,,,,4,8,60,4.87
AI-Cloud,cks-bastion-bfv(Bastion),K8S,,,,4,4,20,4.38
AI-Trust,Basic.small,Basic,,,,2,8,120,2.88
AI-Trust,Basic.medium,Basic,,,,4,16,120,5.76
AI-Trust,Basic.large,Basic,,,,8,32,120,11.53
AI-Trust,CPU.small,CPU優化,,,,8,16,120,9.61
AI-Trust,CPU.medium,CPU優化,,,,16,32,120,19.21
AI-Trust,CPU.large,CPU優化,,,,32,64,120,38.42
AI-Trust,Memory.small,記憶體優化,,,,4,32,120,7.68
AI-Trust,Memory.medium,記憶體優化,,,,8,64,120,15.37
AI-Trust,Memory.large,記憶體優化,,,,16,128,120,30.74
AI-Trust,H100.small,GPU,H100*1,80,3350,96,512,120,174.96
AI-Trust,H100.large,GPU,H100*2,160,6700,192,1024,120,349.91
AI-Trust,H200.small,GPU,H200*1,141,4800,96,512,120,227.62
AI-Trust,H200.large,GPU,H200*2,282,9600,192,1024,120,455.24
AI-Trust,H100.vGPU(20GB),GPU,H100_vgpu*1,20,837.5,24,128,120,43.74
AI-Trust,H200.vGPU(35GB),GPU,H200_vgpu*1,35,1191.5,24,128,120,56.91
AI-Trust,cks-vm-bfv(Master),K8S,,,,4,8,60,4.80
AI-Trust,cks-bastion-bfv(Bastion),K8S,,,,4,4,20,4.32
